[dpo] loading model...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights: 100%|██████████| 310/310 [00:00<00:00, 12986.24it/s]
trainable params: 10,092,544 || all params: 606,142,464 || trainable%: 1.6650
[dpo] 840 pairs
[dpo] tokenizing pairs...
[dpo] max seq len: 1200
[dpo] ep1 step 165/840 loss=0.0023 margin=60.682
[dpo] ep1 step 166/840 loss=0.0000 margin=102.637
[dpo] ep1 step 167/840 loss=0.0141 margin=42.520
[dpo] ep1 step 168/840 loss=0.0011 margin=67.781
[dpo] ep1 step 169/840 loss=0.0003 margin=79.879
[dpo] ep1 step 170/840 loss=0.0209 margin=38.575
[dpo] ep1 step 171/840 loss=0.0464 margin=30.479
[dpo] ep1 step 172/840 loss=0.0013 margin=66.354
[dpo] ep1 step 173/840 loss=0.0006 margin=74.705
[dpo] ep1 step 174/840 loss=0.0025 margin=60.085
[dpo] ep1 step 175/840 loss=0.1323 margin=19.562
[dpo] ep1 step 176/840 loss=0.0275 margin=35.797
[dpo] ep1 step 177/840 loss=0.0000 margin=110.800
[dpo] ep1 step 178/840 loss=0.0000 margin=128.672
[dpo] ep1 step 179/840 loss=0.0410 margin=31.737
[dpo] ep1 step 180/840 loss=0.0025 margin=59.742
[dpo] ep1 step 181/840 loss=0.0000 margin=106.874
[dpo] ep1 step 182/840 loss=0.0028 margin=58.786
[dpo] ep1 step 183/840 loss=0.0000 margin=102.248
[dpo] ep1 step 184/840 loss=0.1162 margin=20.941
[dpo] ep1 step 185/840 loss=0.0002 margin=84.172
[dpo] ep1 step 186/840 loss=0.0362 margin=32.992
[dpo] ep1 step 187/840 loss=0.0015 margin=64.705
[dpo] ep1 step 188/840 loss=0.2589 margin=12.193
[dpo] ep1 step 189/840 loss=0.0008 margin=71.310
[dpo] ep1 step 190/840 loss=0.0120 margin=44.187
[dpo] ep1 step 191/840 loss=0.0069 margin=49.777
[dpo] ep1 step 192/840 loss=0.0043 margin=54.385
[dpo] ep1 step 193/840 loss=0.0115 margin=44.554
[dpo] ep1 step 194/840 loss=0.0033 margin=56.975
[dpo] ep1 step 195/840 loss=0.0005 margin=75.401
[dpo] ep1 step 196/840 loss=0.0060 margin=51.125
[dpo] ep1 step 197/840 loss=0.0041 margin=54.880
[dpo] ep1 step 198/840 loss=0.1194 margin=20.653
[dpo] ep1 step 199/840 loss=0.0007 margin=72.492
[dpo] ep1 step 200/840 loss=0.0002 margin=84.468
[dpo] ep1 step 201/840 loss=0.0007 margin=72.999
[dpo] ep1 step 202/840 loss=0.0067 margin=50.017
[dpo] ep1 step 203/840 loss=0.0002 margin=85.430
[dpo] ep1 step 204/840 loss=0.0003 margin=82.656
[dpo] ep1 step 205/840 loss=0.0000 margin=100.705
[dpo] ep1 step 206/840 loss=0.0067 margin=50.017
[dpo] ep1 step 207/840 loss=0.0284 margin=35.485
[dpo] ep1 step 208/840 loss=0.0001 margin=95.095
[dpo] ep1 step 209/840 loss=0.0009 margin=69.640
[dpo] ep1 step 210/840 loss=0.0003 margin=82.339
[dpo] ep1 step 211/840 loss=0.0012 margin=67.559
[dpo] ep1 step 212/840 loss=0.0000 margin=136.600
[dpo] ep1 step 213/840 loss=0.0001 margin=94.271
[dpo] ep1 step 214/840 loss=0.0020 margin=62.265
[dpo] ep1 step 215/840 loss=0.0043 margin=54.394
[dpo] ep1 step 216/840 loss=0.0003 margin=79.964
[dpo] ep1 step 217/840 loss=0.0002 margin=86.732
[dpo] ep1 step 218/840 loss=0.0113 margin=44.759
[dpo] ep1 step 219/840 loss=0.0326 margin=34.081
[dpo] ep1 step 220/840 loss=0.0091 margin=46.911
[dpo] ep1 step 221/840 loss=0.0001 margin=89.673
[dpo] ep1 step 222/840 loss=0.0073 margin=49.197
[dpo] ep1 step 223/840 loss=0.0002 margin=87.566
[dpo] ep1 step 224/840 loss=0.0109 margin=45.094
[dpo] ep1 step 225/840 loss=0.0003 margin=80.103
[dpo] ep1 step 226/840 loss=0.0008 margin=71.908
[dpo] ep1 step 227/840 loss=0.0033 margin=57.231
[dpo] ep1 step 228/840 loss=0.0000 margin=105.154
[dpo] ep1 step 229/840 loss=0.0000 margin=102.941
[dpo] ep1 step 230/840 loss=0.0001 margin=95.118
